old_url,new_url,classification,relevance,action,status_code,review_required,notes
https://www.braveheartspublishing.com/blog,https://www.braveheartspublishing.com/blog/,UNCHANGED,8,Preserve URL,,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,https://www.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,REDIRECT_APPROVED,59,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,https://www.braveheartspublishing.com/dog-man-to-magic-tree-house-reading-roadmap/,REDIRECT_APPROVED,81,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,https://www.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,REDIRECT_APPROVED,71,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,https://www.braveheartspublishing.com/what-to-read-after-dog-man/,REDIRECT_APPROVED,79,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,https://www.braveheartspublishing.com/best-books-for-7-year-olds/,REDIRECT_APPROVED,74,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/best-summer-reading-books-for-kids-ages-6-9/,REDIRECT_APPROVED,76,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,https://www.braveheartspublishing.com/books-like-magic-tree-house/,REDIRECT_APPROVED,81,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,https://www.braveheartspublishing.com/gap-between-picture-books-and-chapter-books/,REDIRECT_APPROVED,87,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,https://www.braveheartspublishing.com/why-i-wrote-this-book/,REDIRECT_APPROVED,85,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,https://www.braveheartspublishing.com/finding-right-books-with-lexile-score/,REDIRECT_APPROVED,65,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids,https://www.braveheartspublishing.com/mount-everest-facts-for-kids/,REDIRECT_APPROVED,79,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers,https://www.braveheartspublishing.com/bridge-books-for-struggling-readers/,REDIRECT_APPROVED,56,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do,https://www.braveheartspublishing.com/my-child-hates-reading-what-to-do/,REDIRECT_APPROVED,64,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book,https://www.braveheartspublishing.com/how-to-pick-a-read-aloud-book/,REDIRECT_APPROVED,84,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/reading-level-by-grade-chart,https://www.braveheartspublishing.com/reading-level-by-grade-chart/,REDIRECT_APPROVED,84,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids,https://www.braveheartspublishing.com/what-is-the-mariana-trench-for-kids/,REDIRECT_APPROVED,85,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3,https://www.braveheartspublishing.com/best-read-aloud-books-for-classroom-grades-1-3/,REDIRECT_APPROVED,81,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what,https://www.braveheartspublishing.com/my-child-got-a-lexile-score-now-what/,REDIRECT_APPROVED,66,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
https://www.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you,https://www.braveheartspublishing.com/teacher-appreciation-week-thank-you/,REDIRECT_APPROVED,59,301 after final host and Rank Math conflict check,301,no,No content was deleted or rewritten
